#{"t_start": 1700864018.2329156, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-37.036975,13,19.781616
-41.689139,15,19.809915
-1.494236,17,19.846185
-30.482976,15,19.886129
-28.911479,15,19.919555
-45.939006,13,19.961632
-29.663125,14,19.991013
-43.772124,15,20.027563
-14.011275,14,20.054034
-45.444164,10,20.080459
-15.85941,18,20.130505
-29.60021,15,20.165903
-3.615878,15,20.197096
-18.696278,13,20.220689
-25.660765,15,20.256806
6.098833,14,20.299362
-8.222962,13,20.334097
-39.31846,15,20.368732
-41.213967,13,20.392436
-21.053641,13,20.42154
-32.707071,15,20.464056
-3.863752,13,20.502747
-35.280073,13,20.52637
-27.164727,12,20.551716
-9.063176,17,20.58777
-16.117123,15,20.620208
-15.498717,15,20.655009
-33.246387,10,20.673818
-23.238059,11,20.702082
-30.912909,13,20.743214
-36.484602,13,20.766582
-42.712088,10,20.789603
-29.325133,13,20.819923
-39.609658,11,20.841198
-30.290884,15,20.876047
-9.392467,15,20.923076
-15.054622,16,20.962233
-29.989246,12,20.986264
-27.807988,21,21.027354
-51.006452,15,21.083205
-29.389351,8,21.098267
-21.280614,11,21.125063
-24.128474,13,21.174691
-58.923326,16,21.203401
-21.295287,16,21.241613
-51.654169,16,21.273883
-20.793127,13,21.299388
-39.667138,15,21.347499
-25.723735,9,21.365049
-27.954051,13,21.404326
-32.39476,11,21.427554
-7.788169,12,21.449244
-28.76264,11,21.476458
-32.591438,15,21.515477
-28.657821,10,21.535361
-29.061684,9,21.570271
-22.267623,21,21.611267
-38.505542,14,21.637711
-31.18809,16,21.684009
-31.754175,13,21.723797
-25.805209,18,21.773491
-11.589531,12,21.795692
-0.924527,15,21.840782
-36.79922,14,21.876548
-15.351067,12,21.901389
-20.56102,12,21.924335
-22.616706,12,21.950172
-24.591407,13,21.999995
-34.884102,13,22.022646
-43.914429,13,22.051888
-34.146019,13,22.079597
-17.937412,15,22.13055
-8.570693,14,22.16516
-12.530711,20,22.202759
-28.35469,9,22.218676
-37.362283,10,22.260391
-32.065663,13,22.284338
-39.583176,13,22.319016
-24.22729,17,23.226763
-47.254462,11,23.278011
-18.529608,14,23.308657
-14.204188,14,23.343344
-35.564324,12,23.366921
-29.5374,15,23.411908
-6.692601,15,23.450116
-32.988457,14,23.482581
-20.909372,14,23.514091
-23.750963,15,23.548783
-34.62928,12,23.572591
-23.558812,15,23.616219
-11.049654,14,23.65977
-46.237586,18,23.700886
-33.705973,14,23.755129
-34.520744,12,23.798277
-12.577134,18,23.857142
-26.036746,18,23.898767
-15.089291,13,23.925212
-30.381676,16,23.957106
-4.903337,16,23.98832
-12.307755,17,24.020127
-31.414215,9,24.037987
-29.543618,12,24.061799
-19.335178,14,24.114046
-40.639999,14,24.149766
-34.555151,16,24.205126
-39.720873,12,24.228293
-34.237731,10,24.258044
-27.929557,16,24.288852
-29.815512,16,24.320834
-30.557224,13,24.344854
-14.137428,16,24.411192
-21.737861,13,24.440666
-40.131231,12,24.463413
-21.560753,12,24.490516
-23.450398,13,24.513543
-12.091303,13,24.555453
-29.21214,11,24.5911
-3.461029,14,24.616404
-25.534004,13,24.643543
-20.995327,14,24.670755
-29.709525,10,24.702745
-25.10582,10,24.720333
-21.07955,14,24.765249
-30.470387,12,24.789068
-50.145625,14,24.814808
-31.425841,19,24.859304
-8.63105,21,24.924196
-34.238052,10,24.94258
-35.501114,17,24.985672
8.752227,18,25.03878
-8.689481,15,25.069696
-20.418254,12,25.094284
-8.878616,15,25.132287
-32.032992,16,25.160811
-35.447706,10,25.203653
-7.740055,18,25.23858
-27.746801,13,25.262997
-38.257056,13,25.286045
-31.65094,17,25.325914
-18.922478,19,25.390848
-44.3444,12,25.412403
-7.673841,16,25.444146
-39.64901,13,25.501951
-20.023683,12,25.531937
0.378958,13,25.555732
-23.79649,13,25.581362
-36.655709,12,25.604857
-22.929034,14,25.631501
-5.977311,14,25.65649
-35.542603,10,25.675771
-27.076451,13,25.700443
-42.991857,8,25.715116
-31.311965,14,25.7419
-37.795579,9,25.758315
-47.842008,19,25.817043
-23.219988,13,25.851433
7.294545,16,25.883063
-26.7943,13,25.908207
-34.276926,9,25.925243
-30.655939,12,25.970111
-19.797291,19,26.01636
-30.839497,12,26.059917
-14.102519,15,26.10006
-25.349092,13,26.123188
-40.268748,10,26.144034
-37.136301,19,26.190622
-42.376475,13,26.221263
-23.194017,14,26.268451
-30.966174,11,26.289929
-13.519912,18,26.329227
-37.59842,16,26.360958
-21.990279,18,26.398217
-21.154294,17,26.451263
-32.820452,18,26.496578
-38.186633,8,26.517526
-6.291791,16,26.5551
-23.539995,13,26.578537
-16.770378,15,26.618284
-30.037751,11,26.65006
-22.330648,16,26.681972
-20.84438,10,26.700624
-26.131516,12,26.732029
-36.718931,12,26.766039
-36.576253,15,26.793683
-16.767648,12,26.826678
-36.958714,11,26.855202
-39.305133,12,26.876816
-26.187127,14,26.903263
-35.006492,13,26.949079
-11.366154,14,26.982967
-29.319167,14,27.010668
-29.658085,12,27.032545
-32.799377,16,27.063686
-42.717181,16,27.094413
-35.427015,13,27.140999
-10.056705,14,27.178577
-43.119035,12,27.201434
-29.200301,12,27.22553
-33.578019,11,27.266166
-29.219421,9,27.282974
-36.959921,14,27.323705
-34.280218,12,27.34758
-24.532004,13,27.371024
-28.179954,13,27.411617
-28.108756,11,27.451509
-24.220376,15,27.483911
-23.130535,13,27.507473
-37.832454,12,27.543479
-39.678801,14,27.586399
-36.643635,9,27.602888
-39.083674,12,27.631441
-36.646586,14,27.66373
-22.373528,22,27.706608
-10.027971,18,27.763069
-12.442441,13,27.789588
